,season,competition,id_a,id_b,match_link,match_id,gameweek,dayofweek,date,time,squad_a,xg_a,score,xg_b,squad_b,attendance,venue,referee,match_report,notes
0,2021-2022,Premier League,cd051869,18bb7c10,https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,3adf2aa7,1,Fri,2021-08-13,20:00 (15:00),Brentford,1.3,2–0,1.5,Arsenal,"16,479",Brentford Community Stadium,Michael Oliver,Match Report,
1,2021-2022,Premier League,19538871,5bfb9659,https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League,e62685d4,1,Sat,2021-08-14,12:30 (07:30),Manchester Utd,1.5,5–1,0.6,Leeds United,"72,732",Old Trafford,Paul Tierney,Match Report,
2,2021-2022,Premier League,a2d435b3,8cec06e1,https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League,0b346a62,1,Sat,2021-08-14,15:00 (10:00),Leicester City,0.8,1–0,1.1,Wolves,"31,983",King Power Stadium,Craig Pawson,Match Report,
3,2021-2022,Premier League,943e8050,d07537b9,https://fbref.com/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League,4eb36e37,1,Sat,2021-08-14,15:00 (10:00),Burnley,1.1,1–2,1.2,Brighton,"16,910",Turf Moor,David Coote,Match Report,
4,2021-2022,Premier League,2abfe087,8602292d,https://fbref.com/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,814b563c,1,Sat,2021-08-14,15:00 (10:00),Watford,1.2,3–2,1.1,Aston Villa,"20,051",Vicarage Road Stadium,Mike Dean,Match Report,
5,2021-2022,Premier League,cff3d9bb,47c64c55,https://fbref.com/en/matches/6f454493/Chelsea-Crystal-Palace-August-14-2021-Premier-League,6f454493,1,Sat,2021-08-14,15:00 (10:00),Chelsea,0.9,3–0,0.3,Crystal Palace,"38,965",Stamford Bridge,Jonathan Moss,Match Report,
6,2021-2022,Premier League,d3fd31cc,33c895d4,https://fbref.com/en/matches/c99ebbf5/Everton-Southampton-August-14-2021-Premier-League,c99ebbf5,1,Sat,2021-08-14,15:00 (10:00),Everton,2.4,3–1,0.7,Southampton,"38,487",Goodison Park,Andy Madley,Match Report,
7,2021-2022,Premier League,1c781004,822bd0ba,https://fbref.com/en/matches/c52500ad/Norwich-City-Liverpool-August-14-2021-Premier-League,c52500ad,1,Sat,2021-08-14,17:30 (12:30),Norwich City,1.4,0–3,2.0,Liverpool,"27,023",Carrow Road,Andre Marriner,Match Report,
8,2021-2022,Premier League,b2b47a98,7c21e445,https://fbref.com/en/matches/41091264/Newcastle-United-West-Ham-United-August-15-2021-Premier-League,41091264,1,Sun,2021-08-15,14:00 (09:00),Newcastle Utd,1.4,2–4,2.2,West Ham,"50,673",St. James' Park,Martin Atkinson,Match Report,
9,2021-2022,Premier League,361ca564,b8fd03ef,https://fbref.com/en/matches/ff51efc7/Tottenham-Hotspur-Manchester-City-August-15-2021-Premier-League,ff51efc7,1,Sun,2021-08-15,16:30 (11:30),Tottenham,1.3,1–0,1.9,Manchester City,"58,262",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
